지점,일시,평균 풍속(m/s),평균기압(hPa),평균 상대습도(%),평균 기온(°C),평균 수온(°C),평균 최대 파고(m),평균 유의 파고(m),최고 유의 파고(m),최고 최대 파고(m),평균 파주기(sec),최고 파주기(sec)
22189,2016-06,5,1002.9,94,20.8,21.2,1.2,0.8,1.2,1.9,4.8,6.4
22189,2016-06,3.3,1004.6,90,20.8,21.3,1.1,0.7,1.1,1.8,6.4,7.1
22189,2016-06,6,1003.6,91,22.2,21.8,1.3,0.8,0.9,1.6,6.6,8
22189,2016-06,6.3,999.1,92,22.8,22,1.3,0.9,1.1,2,4.3,7.1
22189,2016-06,6.3,1007.9,78,22.4,22.4,1.6,0.9,1.3,2.3,5.1,8
22189,2016-06,7.7,1012.5,91,21.8,21.7,1.5,0.9,1.2,2.2,4.5,8
22189,2016-06,8.2,1008.1,95,22.5,21.3,1.8,1.1,1.3,2.6,4.4,7.1
22189,2016-06,6.5,1006.7,97,22.2,21.8,1.5,0.9,1.2,2.1,4,7.1
22189,2016-06,4.3,1008.3,94,21.6,22.4,1,0.7,0.8,1.3,5.7,7.1
22189,2016-06,4.5,1006.5,92,22.3,22.7,1,0.6,0.8,1.3,4.7,6.4
22189,2016-06,4.9,1006.8,86,22.5,22.4,1.3,0.8,1.2,2,4.9,6.4
22189,2016-06,7,999.5,92,22.7,22,2,1.2,2.1,3.7,5.4,6.4
22189,2016-06,9.2,1003.3,76,22.3,21.6,2.3,1.4,1.7,3.2,6.3,8
22189,2016-06,5.7,1008.7,83,21.3,20.7,2.5,1.5,1.9,3.2,7.6,10.7
22189,2016-06,4.7,1010.8,92,20.8,20.6,2.1,1.4,1.7,2.9,10,10.7
22189,2016-06,2.1,1012,85,21.2,20.9,1.3,0.8,1.1,1.8,8.3,9.1
22189,2016-06,2.4,1012.1,91,21.3,21.3,1,0.6,0.7,1.2,6,8
22189,2016-06,7.2,1011.5,92,21.9,21.3,1,0.6,1,1.8,3.7,5.8
22189,2016-07,8.1,1009.4,93,22.7,20.8,1.6,1,1.8,2.8,3.9,4.9
22189,2016-07,9.6,1006.1,93,22.4,20.2,3,2,3,4.6,6.6,8
22189,2016-07,4.5,1010.2,94,21.1,20.5,1.6,1,1.8,3.1,6.5,7.1
22189,2016-07,3.7,1012,95,20.7,21.9,1.1,0.7,0.8,1.5,5.6,7.1
22189,2016-07,5.5,1013.9,94,23,21.9,1.2,0.8,1,1.7,5.5,9.1
22189,2016-07,6.1,1015.6,94,22.5,21.9,1.7,1.1,1.3,2.2,7.2,9.1
22189,2016-07,1.7,1015.3,92,23.1,23.6,1.2,0.8,1.1,1.8,6.5,7.1
22189,2016-07,2.4,1010.7,92,24.1,24,0.8,0.5,0.8,1.2,5.7,8
22189,2016-07,1.9,1006.7,89,24.3,24.4,0.8,0.5,0.9,1.5,6.4,12.8
22189,2016-07,4.4,1004.9,88,25,25,0.6,0.3,0.4,1,9.3,10.7
22189,2016-07,3.1,1005.3,93,25.1,24.4,0.6,0.4,0.9,1.4,6.6,9.1
22189,2016-07,6.2,1002.9,93,24.5,24.2,1.3,0.8,1.2,1.8,5.4,9.1
22189,2016-07,4.4,1000.2,93,24.3,23.7,1.6,1,1.2,1.9,7.1,9.1
22189,2016-07,6.4,1001.3,84,24.4,24.7,1.5,1,1.4,2,6.9,9.1
22189,2016-07,6.6,1005.3,80,23.2,24.4,3.3,2,2.5,4.3,7.6,9.1
22189,2016-07,5.2,1002.9,85,24,24.9,2.7,1.6,2.2,3.7,7.6,9.1
22189,2016-07,4.3,1006.9,87,24.2,24.8,1.8,1.1,1.4,2.5,6.7,7.1
22189,2016-07,2.8,1010.2,85,24.2,24.8,1.2,0.7,1,1.6,6.8,8
22189,2016-07,4.6,1012.5,81,24.4,24.8,1,0.6,0.8,1.3,5.8,7.1
22189,2016-07,6.4,1013.7,80,23.9,24.7,1.3,0.8,1.2,2.3,4.3,4.9
22189,2016-07,4.8,1013.4,75,24,24.7,1.2,0.7,1.2,1.7,4.8,5.3
22189,2016-07,4.4,1012.1,76,24.3,25,1,0.6,0.7,1.2,4.7,7.1
22189,2016-07,2.4,1011.1,79,25,25.4,1,0.6,0.9,1.4,5,5.8
22189,2016-07,5.9,1011.2,89,26.5,26,1,0.6,0.7,1.4,3.4,5.3
22189,2016-07,6.1,1010.9,90,26.8,26.6,1,0.6,0.8,1.4,3.1,3.8
22189,2016-07,8.1,1008.3,90,27.1,26.2,1.2,0.7,1,1.7,3.3,4.3
22189,2016-07,8.4,1006.5,90,27.5,26.5,1.4,0.9,1.2,2.1,3.6,4.6
22189,2016-07,9.1,1007.4,89,27.9,27.1,1.8,1.1,1.4,2.4,4.2,4.9
22189,2016-07,8.2,1009.8,89,28.3,27.9,1.3,0.7,0.9,1.5,3.5,5.3
22189,2016-07,5.9,1011.2,87,28.4,28,0.8,0.5,0.7,1.1,2.9,3.8
22189,2016-07,2.4,1011.3,81,28.6,29,0.5,0.3,0.4,0.9,5,7.1
22189,2016-08,2.5,1010.1,83,28.2,28.8,0.4,0.3,0.4,0.6,4.6,8
22189,2016-08,3,1009.1,86,27.8,28.6,0.4,0.3,0.4,0.6,3.6,5.3
22189,2016-08,3.5,1009.4,82,28,28.7,0.7,0.4,0.5,0.9,9.6,10.7
22189,2016-08,4.7,1010.3,78,28.2,28.9,0.8,0.5,0.6,1.1,5.7,9.1
22189,2016-08,4.1,1010.5,76,28,29,0.9,0.6,0.9,1.7,4.5,5.3
22189,2016-08,2.6,1009,81,28.5,28.9,0.7,0.4,0.5,0.9,4.4,4.9
22189,2016-08,2.8,1007.4,82,29.1,29.6,0.5,0.3,0.4,0.7,4.2,4.9
22189,2016-08,3.8,1007,79,29.7,30.5,0.6,0.3,0.6,1,3.4,6.4
22189,2016-08,6.7,1008.9,76,28,29.2,1.9,1.2,1.8,3.3,6,7.1
